#Organism/Name,BioProject,Group,SubGroup,Size (Mb),GC%,Chromosomes/RefSeq,Chromosomes/INSDC,Plasmids/RefSeq,Plasmids/INSDC,WGS,Scaffolds,Genes,Proteins,Release Date,Modify Date,Status
Bacillus anthracis str. A2012,PRJNA54101,Firmicutes,Bacilli,5.37006,32.6715,-,-,"NC_003980.1,NC_003981.1","AE011190.1,AE011191.1",AAAC01,3,332,297,5/9/2002,12/5/2013,Complete
Buchnera aphidicola BCc,PRJNA58579,Proteobacteria,Gammaproteobacteria,0.422434,20.2032,NC_008513.1,CP000263.1,NC_011878.1,AY438025.1,-,2,402,362,10/14/2004,6/10/2013,Complete
Buchnera aphidicola (Cinara tujafilina),PRJNA68101,Proteobacteria,Gammaproteobacteria,0.444925,23,NC_015662.1,CP001817.1,-,-,-,1,405,360,6/9/2011,7/6/2013,Complete
Candidatus Profftella armatura,PRJNA39873,Proteobacteria,Betaproteobacteria,0.464857,24.1965,-,-,-,-,-,2,410,372,7/26/2013,8/26/2013,Complete
Candidatus Moranella endobia PCIT,PRJNA68739,Proteobacteria,Gammaproteobacteria,0.538294,43.5,NC_015735.1,CP002243.1,-,-,-,1,481,406,6/24/2011,6/11/2013,Complete
Candidatus Moranella endobia PCVAL,PRJNA197215,Proteobacteria,Gammaproteobacteria,0.538203,43.5,NC_021057.1,CP003881.1,-,-,-,1,483,411,4/15/2013,1/30/2014,Complete
Buchnera aphidicola str. JF98 (Acyrthosiphon pisum),PRJNA158845,Proteobacteria,Gammaproteobacteria,0.641771,26.3,NC_017254.1,CP002303.1,-,-,-,1,512,477,11/4/2010,6/11/2013,Complete
Candidatus Phytoplasma solani 284/09,PRJNA225030,Tenericutes,Mollicutes,0.570238,28.7,NC_022588.1,FO393427.1,-,-,-,-,520,520,10/22/2013,10/28/2013,Complete
Borrelia valaisiana VS116,PRJNA54823,Spirochaetes,Spirochaetia,1.25886,25.8298,-,-,"NC_012169.1,NC_012129.1,NC_012180.1,NC_012128.1,NC_012177.1,NC_012133.1,NC_012166.1,NC_012131.1,NC_012130.1,NC_012204.1,NC_012185.1","CP001442.1,CP001432.1,CP001439.1,CP001441.1,CP001433.1,CP001435.1,CP001437.1,CP001434.1,CP001438.1,CP001436.1,CP001440.1",ABCY02,12,521,520,6/26/2007,12/5/2013,Complete
Mycoplasma genitalium M6282,PRJNA173371,Tenericutes,Mollicutes,0.579504,31.7,NC_018496.1,CP003771.1,-,-,-,1,523,484,8/21/2012,6/11/2013,Complete
Mycoplasma genitalium G37,PRJNA57707,Tenericutes,Mollicutes,0.580076,31.7,NC_000908.2,L43967.2,-,-,-,1,525,476,10/30/1995,6/10/2013,Complete
Candidatus Phytoplasma mali,PRJNA59087,Tenericutes,Mollicutes,0.601943,21.4,NC_011047.1,CU469464.1,-,-,-,1,536,482,7/5/2008,6/10/2013,Complete
Mycoplasma genitalium M2321,PRJNA173373,Tenericutes,Mollicutes,0.579977,31.7,NC_018495.1,CP003770.1,-,-,-,1,538,499,8/21/2012,6/11/2013,Complete
Mycoplasma genitalium M2288,PRJNA173372,Tenericutes,Mollicutes,0.579558,31.7,NC_018498.1,CP003773.1,-,-,-,1,545,506,8/21/2012,6/11/2013,Complete
Mycoplasma genitalium M6320,PRJNA173370,Tenericutes,Mollicutes,0.579796,31.7,NC_018497.1,CP003772.1,-,-,-,1,548,509,8/21/2012,6/11/2013,Complete
Buchnera aphidicola str. Bp (Baizongia pistaciae),PRJNA57827,Proteobacteria,Gammaproteobacteria,0.618379,25.3004,NC_004545.1,AE016826.1,NC_004555.1,AF492591.1,-,2,553,507,1/27/2003,5/23/2013,Complete
Mycoplasma hominis ATCC 23114,PRJNA41875,Tenericutes,Mollicutes,0.665445,27.1,NC_013511.1,FP236530.1,-,-,-,1,577,523,11/14/2009,6/10/2013,Complete
Blattabacterium sp. (Cryptocercus punctulatus) str. Cpu,PRJNA81083,Bacteroidetes/Chlorobi group,Bacteroidetes,0.609561,23.8419,NC_016621.1,CP003015.1,NC_016598.1,CP003016.1,-,2,589,548,11/29/2011,6/8/2013,Complete
Buchnera aphidicola str. Ua (Uroleucon ambrosiae),PRJNA158535,Proteobacteria,Gammaproteobacteria,0.627953,24.1448,NC_017259.1,CP002648.1,"NC_017261.1,NC_017260.1","CP002649.1,CP002650.1",-,3,591,538,9/7/2011,6/8/2013,Complete
Blattabacterium sp. (Mastotermes darwiniensis) str. MADAR,PRJNA77127,Bacteroidetes/Chlorobi group,Bacteroidetes,0.590336,27.523,NC_016146.1,CP003000.1,NC_016150.1,CP003095.1,-,2,593,544,10/31/2011,6/8/2013,Complete
Buchnera aphidicola str. Tuc7 (Acyrthosiphon pisum),PRJNA59283,Proteobacteria,Gammaproteobacteria,0.641895,26.3,NC_011834.1,CP001158.1,-,-,-,1,598,553,1/6/2009,6/10/2013,Complete
Candidatus Riesia pediculicola USDA,PRJNA46841,Proteobacteria,Gammaproteobacteria,0.582127,28.589,NC_014109.1,CP001085.1,NC_013962.1,CP001086.1,-,2,598,556,3/16/2010,6/8/2013,Complete
Buchnera aphidicola str. 5A (Acyrthosiphon pisum),PRJNA59285,Proteobacteria,Gammaproteobacteria,0.642122,26.3,NC_011833.1,CP001161.1,-,-,-,1,599,555,1/6/2009,6/10/2013,Complete
Buchnera aphidicola str. TLW03 (Acyrthosiphon pisum),PRJNA158849,Proteobacteria,Gammaproteobacteria,0.64177,26.3,NC_017252.1,CP002301.1,-,-,-,1,608,573,11/4/2010,6/11/2013,Complete
Buchnera aphidicola str. LL01 (Acyrthosiphon pisum),PRJNA158843,Proteobacteria,Gammaproteobacteria,0.641799,26.3,NC_017255.1,CP002300.1,-,-,-,1,612,577,11/4/2010,6/11/2013,Complete
Blattabacterium sp. (Blaberus giganteus),PRJNA165873,Bacteroidetes/Chlorobi group,Bacteroidetes,0.632588,25.7281,NC_017924.1,CP003535.1,NC_017925.1,CP003536.1,-,2,615,577,5/14/2012,6/8/2013,Complete
Mycoplasma parvum str. Indiana,PRJNA223379,Tenericutes,Mollicutes,0.564395,27,NC_022575.1,CP006771.1,-,-,-,1,616,581,10/21/2013,12/27/2013,Complete
Buchnera aphidicola str. APS (Acyrthosiphon pisum),PRJNA57805,Proteobacteria,Gammaproteobacteria,0.655725,26.3523,NC_002528.1,BA000003.2,"NC_002252.1,NC_002253.1","AP001070.1,AP001071.1",-,3,617,574,5/3/2000,7/22/2013,Complete
Buchnera aphidicola str. Sg (Schizaphis graminum),PRJNA57913,Proteobacteria,Gammaproteobacteria,0.641454,25.3,NC_004061.1,AE013218.1,-,-,-,1,620,545,6/10/2002,6/10/2013,Complete
secondary endosymbiont of Heteropsylla cubana,PRJNA172738,Proteobacteria,Gammaproteobacteria,1.1216,28.9,NC_018420.1,CP003547.1,-,-,-,1,620,576,8/13/2012,6/11/2013,Complete
Buchnera aphidicola str. USDA (Myzus persicae),PRJNA66101,Proteobacteria,Gammaproteobacteria,0.651306,25.4084,-,CP002697.1,-,CP002698.1,-,2,621,575,1/22/2014,1/22/2014,Complete
Buchnera aphidicola str. W106 (Myzus persicae),PRJNA66103,Proteobacteria,Gammaproteobacteria,0.651304,25.4084,-,CP002699.1,-,CP002700.1,-,2,621,573,1/22/2014,1/22/2014,Complete
Buchnera aphidicola str. G002 (Myzus persicae),PRJNA66105,Proteobacteria,Gammaproteobacteria,0.651316,25.4084,-,CP002701.1,-,CP002702.1,-,2,621,572,1/22/2014,1/22/2014,Complete
Buchnera aphidicola str. F009 (Myzus persicae),PRJNA66107,Proteobacteria,Gammaproteobacteria,0.65131,25.4084,-,CP002703.1,-,CP002704.1,-,2,621,573,1/22/2014,1/22/2014,Complete
Blattabacterium sp. (Nauphoeta cinerea),PRJNA222815,Bacteroidetes/Chlorobi group,Bacteroidetes,0.626626,26.0678,NC_022550.1,CP005488.1,NC_022551.1,CP005489.1,-,2,622,586,9/27/2013,10/17/2013,Complete
Blattabacterium sp. (Panesthia angustipennis spadica) str. BPAA,PRJNA193717,Bacteroidetes/Chlorobi group,Bacteroidetes,0.63249,26.4,NC_020510.1,AP012548.1,-,-,-,1,624,575,3/14/2013,7/23/2013,Complete
Buchnera aphidicola str. Ak (Acyrthosiphon kondoi),PRJNA158533,Proteobacteria,Gammaproteobacteria,0.653223,25.7113,NC_017256.1,CP002645.1,"NC_017257.1,NC_017258.1","CP002646.1,CP002647.1",-,3,625,569,9/7/2011,6/8/2013,Complete
Buchnera aphidicola str. JF99 (Acyrthosiphon pisum),PRJNA158847,Proteobacteria,Gammaproteobacteria,0.641716,26.3,NC_017253.1,CP002302.1,-,-,-,1,625,590,11/4/2010,6/11/2013,Complete
Mycoplasma bovoculi M165/69,PRJNA46455,Tenericutes,Mollicutes,0.76024,28.2,-,CP007154.1,-,-,-,1,626,579,1/30/2014,2/11/2014,Complete
Blattabacterium sp. (Periplaneta americana) str. BPLAN,PRJNA41287,Bacteroidetes/Chlorobi group,Bacteroidetes,0.640442,28.2016,NC_013418.2,CP001429.2,NC_013419.1,CP001430.1,-,2,626,582,10/19/2009,6/8/2013,Complete
Blattabacterium sp. (Blatta orientalis) str. Tarazona,PRJNA188115,Bacteroidetes/Chlorobi group,Bacteroidetes,0.638184,28.214,NC_020195.1,CP003605.1,NC_020196.1,CP003606.1,-,2,627,579,1/30/2013,6/10/2013,Complete
Candidatus Blochmannia floridanus,PRJNA57999,Proteobacteria,Gammaproteobacteria,0.705557,27.4,NC_005061.1,BX248583.1,-,-,-,1,631,583,8/7/2003,6/10/2013,Complete
Candidatus Blochmannia vafer str. BVAF,PRJNA62083,Proteobacteria,Gammaproteobacteria,0.722585,27.5,NC_014909.2,CP002189.2,-,-,-,1,631,587,1/13/2011,6/11/2013,Complete
Blattabacterium sp. (Blattella germanica) str. Bge,PRJNA41533,Bacteroidetes/Chlorobi group,Bacteroidetes,0.640935,27.1172,NC_013454.1,CP001487.1,NC_015679.1,CP002849.1,-,2,631,590,11/2/2009,6/10/2013,Complete
Ureaplasma parvum serovar 3 str. ATCC 27815,PRJNA58887,Tenericutes,Mollicutes,0.751679,25.5,NC_010503.1,CP000942.1,-,-,-,1,647,609,2/26/2008,6/10/2013,Complete
Baumannia cicadellinicola str. Hc (Homalodisca coagulata),PRJNA58111,Proteobacteria,Gammaproteobacteria,0.686194,33.2,NC_007984.1,CP000238.1,-,-,-,1,651,595,4/27/2006,6/10/2013,Complete
Ureaplasma parvum serovar 3 str. ATCC 700970,PRJNA57711,Tenericutes,Mollicutes,0.751719,25.5,NC_002162.1,AF222894.1,-,-,-,1,653,614,1/10/2000,6/27/2013,Complete
Wigglesworthia glossinidia endosymbiont of Glossina brevipalpis,PRJNA57853,Proteobacteria,Gammaproteobacteria,0.703004,22.4962,NC_004344.2,BA000021.3,NC_003425.1,AB063523.1,-,2,657,617,3/2/2002,6/10/2013,Complete
Candidatus Blochmannia pennsylvanicus str. BPEN,PRJNA58329,Proteobacteria,Gammaproteobacteria,0.791654,29.6,NC_007292.1,CP000016.1,-,-,-,1,658,610,8/4/2005,6/10/2013,Complete
Candidatus Blochmannia chromaiodes str. 640,PRJNA185308,Proteobacteria,Gammaproteobacteria,0.791219,29.5,NC_020075.1,CP003903.1,-,-,-,1,658,609,1/4/2013,1/30/2014,Complete
Mycoplasma mobile 163K,PRJNA58077,Tenericutes,Mollicutes,0.777079,25,NC_006908.1,AE017308.1,-,-,-,1,669,635,5/18/2004,6/10/2013,Complete
Mycoplasma arthritidis 158L3-1,PRJNA58005,Tenericutes,Mollicutes,0.820453,30.7,NC_011025.1,CP001047.1,-,-,-,1,671,631,6/25/2008,6/10/2013,Complete
Wigglesworthia glossinidia endosymbiont of Glossina morsitans morsitans (Yale colony),PRJNA88075,Proteobacteria,Gammaproteobacteria,0.719535,25.2,NC_016893.1,CP003315.1,-,-,-,1,679,618,2/10/2012,6/11/2013,Complete
Mycoplasma wenyonii str. Massachusetts,PRJNA170731,Tenericutes,Mollicutes,0.650228,33.9,NC_018149.1,CP003703.1,-,-,-,1,687,652,7/16/2012,6/11/2013,Complete
Mycoplasma pneumoniae M129-B7,PRJNA185759,Tenericutes,Mollicutes,0.816373,40,NC_020076.1,CP003913.1,-,-,-,1,693,613,1/4/2013,8/28/2013,Complete
Ureaplasma urealyticum serovar 10 str. ATCC 33699,PRJNA59011,Tenericutes,Mollicutes,0.874478,25.8,NC_011374.1,CP001184.1,-,-,-,1,695,646,10/16/2008,6/10/2013,Complete
Mycoplasma hyopneumoniae 7422,PRJNA212968,Tenericutes,Mollicutes,0.898495,28.5,NC_021831.1,CP003802.1,-,-,-,1,711,677,7/15/2013,1/30/2014,Complete
Mycoplasma hyorhinis HUB-1,PRJNA51695,Tenericutes,Mollicutes,0.839615,25.9,NC_014448.1,CP002170.1,-,-,-,1,711,658,8/20/2010,1/30/2014,Complete
Mesoplasma florum L1,PRJNA58055,Tenericutes,Mollicutes,0.793224,27,NC_006055.1,AE017263.1,-,-,-,1,715,680,7/19/2004,8/26/2013,Complete
Mycoplasma hyopneumoniae J,PRJNA58059,Tenericutes,Mollicutes,0.897405,28.5,NC_007295.1,AE017243.1,-,-,-,1,720,674,8/5/2005,6/10/2013,Complete
Mycoplasma putrefaciens KS1,PRJNA72481,Tenericutes,Mollicutes,0.832603,26.9,NC_015946.1,CP003021.1,-,-,-,1,725,650,8/19/2011,10/30/2013,Complete
Mycoplasma hyopneumoniae 168-L,PRJNA205052,Tenericutes,Mollicutes,0.921093,28.5,NC_021283.1,CP003131.1,-,-,-,1,726,683,5/22/2013,1/30/2014,Complete
Mycoplasma hyopneumoniae 232,PRJNA58205,Tenericutes,Mollicutes,0.892758,28.6,NC_006360.1,AE017332.1,-,-,-,1,727,691,10/8/2004,6/27/2013,Complete
Aster yellows witches'-broom phytoplasma AYWB,PRJNA58297,Tenericutes,Mollicutes,0.72397,26.8254,NC_007716.1,CP000061.1,"NC_007720.1,NC_007718.1,NC_007717.1,NC_007719.1","CP000065.1,CP000063.1,CP000062.1,CP000064.1",-,5,730,693,1/11/2006,5/23/2013,Complete
Mycoplasma conjunctivae,PRJNA59325,Tenericutes,Mollicutes,0.846214,28.6,NC_012806.1,FM864216.2,-,-,-,1,731,696,6/17/2009,6/10/2013,Complete
Mycoplasma pneumoniae M129,PRJNA57709,Tenericutes,Mollicutes,0.816394,40,NC_000912.1,U00089.2,-,-,-,1,732,688,11/15/1996,1/30/2014,Complete
Mycoplasma synoviae 53,PRJNA58061,Tenericutes,Mollicutes,0.799476,28.5,NC_007294.1,AE017245.1,-,-,-,1,737,681,8/5/2005,6/10/2013,Complete
Mycoplasma hyopneumoniae 168,PRJNA162053,Tenericutes,Mollicutes,0.925576,28.5,NC_017509.1,CP002274.1,-,-,-,1,741,695,11/24/2010,1/30/2014,Complete
Mycoplasma hyorhinis GDL-1,PRJNA87003,Tenericutes,Mollicutes,0.83748,25.9,NC_016829.1,CP003231.1,-,-,-,1,741,647,1/4/2012,6/11/2013,Complete
Mycoplasma hyopneumoniae 7448,PRJNA58039,Tenericutes,Mollicutes,0.920079,28.5,NC_007332.1,AE017244.1,-,-,-,1,746,698,8/8/2005,6/10/2013,Complete
Mycoplasma putrefaciens Mput9231,PRJNA198525,Tenericutes,Mollicutes,0.859996,27,NC_021083.1,CP004357.1,-,-,-,1,747,667,4/22/2013,1/30/2014,Complete
Mycoplasma pneumoniae 309,PRJNA85495,Tenericutes,Mollicutes,0.817176,40,NC_016807.1,AP012303.1,-,-,-,1,750,707,12/1/2011,6/11/2013,Complete
Mycoplasma crocodyli MP145,PRJNA47087,Tenericutes,Mollicutes,0.934379,27,NC_014014.1,CP001991.1,-,-,-,1,763,689,3/26/2010,7/6/2013,Complete
Mesoplasma florum W37,PRJNA224253,Tenericutes,Mollicutes,0.825824,27,NC_022583.1,CP006778.1,-,-,-,1,768,733,10/24/2013,12/27/2013,Complete
Serratia symbiotica str. 'Cinara cedri',PRJNA82363,Proteobacteria,Gammaproteobacteria,1.76276,29.2,NC_016632.1,CP002295.1,-,-,-,1,772,672,12/20/2011,6/11/2013,Complete
Mycoplasma gallisepticum NC08_2008.031-4-3P,PRJNA172631,Tenericutes,Mollicutes,0.92665,31.6,NC_018413.1,CP003513.1,-,-,-,1,777,739,8/10/2012,6/11/2013,Complete
Mycoplasma gallisepticum NC06_2006.080-5-2P,PRJNA172629,Tenericutes,Mollicutes,0.938869,31.6,NC_018411.1,CP003511.1,-,-,-,1,782,744,8/10/2012,6/11/2013,Complete
Mycoplasma hyorhinis DBS 1050,PRJNA228933,Tenericutes,Mollicutes,0.837447,25.9,NC_022807.1,CP006849.1,-,-,-,1,782,737,11/14/2013,1/30/2014,Complete
Mycoplasma gallisepticum WI01_2001.043-13-2P,PRJNA172628,Tenericutes,Mollicutes,0.939844,31.6,NC_018410.1,CP003510.1,-,-,-,1,784,746,8/10/2012,6/11/2013,Complete
Mycoplasma hyorhinis SK76,PRJNA181997,Tenericutes,Mollicutes,0.836897,25.9,NC_019552.1,CP003914.1,-,-,-,1,786,753,11/20/2012,7/7/2013,Complete
Onion yellows phytoplasma OY-M,PRJNA58015,Tenericutes,Mollicutes,0.853092,27.8,NC_005303.2,AP006628.2,-,-,-,1,791,752,12/9/2003,6/10/2013,Complete
Mycoplasma gallisepticum NC95_13295-2-2P,PRJNA172625,Tenericutes,Mollicutes,0.953989,31.6,NC_018407.1,CP003507.1,-,-,-,1,792,754,8/10/2012,6/11/2013,Complete
Mycoplasma gallisepticum NY01_2001.047-5-1P,PRJNA172627,Tenericutes,Mollicutes,0.965525,31.6,NC_018409.1,CP003509.1,-,-,-,1,798,760,8/10/2012,6/11/2013,Complete
Mycoplasma pneumoniae FH,PRJNA162027,Tenericutes,Mollicutes,0.811088,40,NC_017504.1,CP002077.1,-,-,-,1,799,629,7/29/2010,6/11/2013,Complete
Mycoplasma agalactiae PG2,PRJNA61619,Tenericutes,Mollicutes,0.877438,29.7,NC_009497.1,CU179680.1,-,-,-,1,801,751,5/23/2007,6/10/2013,Complete
Mycoplasma gallisepticum CA06_2006.052-5-2P,PRJNA172630,Tenericutes,Mollicutes,0.976412,31.6,NC_018412.1,CP003512.1,-,-,-,1,801,763,8/10/2012,6/11/2013,Complete
Mycoplasma gallisepticum VA94_7994-1-7P,PRJNA172624,Tenericutes,Mollicutes,0.96411,31.6,NC_018406.1,CP003506.1,-,-,-,1,805,767,8/10/2012,6/11/2013,Complete
Mycoplasma gallisepticum NC96_1596-4-2P,PRJNA172626,Tenericutes,Mollicutes,0.986257,31.6,NC_018408.1,CP003508.1,-,-,-,1,809,771,8/10/2012,6/11/2013,Complete
Mycoplasma gallisepticum str. F,PRJNA162001,Tenericutes,Mollicutes,0.977612,31.4,NC_017503.1,CP001873.1,-,-,-,1,810,756,1/29/2010,6/11/2013,Complete
Mycoplasma gallisepticum S6,PRJNA200523,Tenericutes,Mollicutes,0.985444,31.5,NC_023030.1,CP006916.1,-,-,-,1,811,702,12/11/2013,12/12/2013,Complete
Mycoplasma hyorhinis MCLD,PRJNA162087,Tenericutes,Mollicutes,0.829709,25.9,NC_017519.1,CP002669.1,-,-,-,1,811,778,4/27/2011,6/27/2013,Complete
Mycoplasma gallisepticum str. R(low),PRJNA57993,Tenericutes,Mollicutes,1.0128,31.5,NC_004829.2,AE015450.2,-,-,-,1,817,763,6/9/2003,6/27/2013,Complete
Mycoplasma gallisepticum str. R(high),PRJNA161999,Tenericutes,Mollicutes,1.01203,31.5,NC_017502.1,CP001872.1,-,-,-,1,820,766,1/29/2010,6/11/2013,Complete
Candidatus Endolissoclinum faulkneri L5,PRJNA219340,Proteobacteria,Alphaproteobacteria,1.51864,34.5,-,CP006745.1,-,-,-,1,824,770,12/18/2013,12/18/2013,Complete
Mycoplasma bovis Hubei-1,PRJNA68691,Tenericutes,Mollicutes,0.948121,29.3,NC_015725.1,CP002513.1,-,-,-,1,839,801,6/27/2011,1/30/2014,Complete
Mycoplasma suis KI3806,PRJNA63665,Tenericutes,Mollicutes,0.70927,31.1,NC_015153.1,FQ790233.1,-,-,-,1,844,794,2/17/2011,7/6/2013,Complete
Borrelia garinii NMJW1,PRJNA177081,Spirochaetes,Spirochaetia,0.902789,28.4,NC_018747.1,CP003866.1,-,-,-,1,849,813,9/28/2012,6/11/2013,Complete
Borrelia turicatae 91E135,PRJNA58311,Spirochaetes,Spirochaetia,0.91733,29.1,NC_008710.1,CP000049.1,-,-,-,1,853,818,12/22/2006,6/10/2013,Complete
Borrelia burgdorferi CA382,PRJNA214794,Spirochaetes,Spirochaetia,0.910736,28.6,NC_022048.1,CP005925.1,-,-,-,1,857,819,8/6/2013,8/9/2013,Complete
Borrelia miyamotoi LB-2001,PRJNA215233,Spirochaetes,Spirochaetia,0.907294,28.7,NC_022079.1,CP006647.1,-,-,-,1,859,808,8/12/2013,9/20/2013,Complete
Tropheryma whipplei str. Twist,PRJNA57705,Actinobacteria,Actinobacteria,0.927303,46.3,NC_004572.3,AE014184.1,-,-,-,1,862,808,2/24/2003,1/30/2014,Complete
Rickettsia prowazekii str. GvV257,PRJNA158051,Proteobacteria,Alphaproteobacteria,1.11197,29,NC_017048.1,CP003395.1,-,-,-,1,865,829,3/21/2012,10/17/2013,Complete
Mycoplasma fermentans JER,PRJNA53543,Tenericutes,Mollicutes,0.977524,26.9,NC_014552.1,CP001995.1,-,-,-,1,866,797,9/24/2010,1/30/2014,Complete
Mycoplasma agalactiae,PRJNA46679,Tenericutes,Mollicutes,1.0067,29.6,NC_013948.1,FP671138.1,-,-,-,1,867,820,3/5/2010,6/10/2013,Complete
Mycoplasma capricolum subsp. capricolum ATCC 27343,PRJNA58525,Tenericutes,Mollicutes,1.01002,23.8,NC_007633.1,CP000123.1,-,-,-,1,867,812,12/6/2005,6/27/2013,Complete
Mycoplasma bovis PG45,PRJNA60859,Tenericutes,Mollicutes,1.0034,29.3,NC_014760.1,CP002188.1,-,-,-,1,868,765,11/30/2010,7/6/2013,Complete
Rickettsia prowazekii str. RpGvF24,PRJNA158065,Proteobacteria,Alphaproteobacteria,1.1121,29,NC_017057.1,CP003396.1,-,-,-,1,870,834,3/21/2012,10/17/2013,Complete
Borrelia parkeri HR1,PRJNA231102,Spirochaetes,Spirochaetia,1.03068,28.9,-,CP007022.1,-,-,-,2,870,825,12/30/2013,2/14/2014,Complete
Mycoplasma bovis HB0801,PRJNA168665,Tenericutes,Mollicutes,0.991702,29.3,NC_018077.1,CP002058.1,-,-,-,1,873,814,6/19/2012,6/11/2013,Complete
Rickettsia typhi str. TH1527,PRJNA158161,Proteobacteria,Alphaproteobacteria,1.11237,28.9,NC_017066.1,CP003397.1,-,-,-,1,874,838,3/21/2012,10/17/2013,Complete
Rickettsia prowazekii str. Dachau,PRJNA158057,Proteobacteria,Alphaproteobacteria,1.10905,29,NC_017051.1,CP003394.1,-,-,-,1,875,839,3/21/2012,11/8/2013,Complete
